,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
87,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.2","X20, X21, X23, X27, X31, X34",1.9777360318918748e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
88,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.3","X20, X21, X23, X27, X31, X35",2.142547350577674e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
89,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.4","X20, X21, X23, X27, X31, X36",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
90,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.5","X20, X21, X23, X27, X31, X37",1.6481133648542355e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
91,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.6","X20, X21, X23, X27, X31, X38",2.6369813659671526e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
92,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.7","X20, X21, X23, X27, X31, X39",2.3073586989295135e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
93,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.8","X20, X21, X23, X27, X31, X40",2.142547350577674e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
94,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.1","X20, X21, X23, X27, X32, X33",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
95,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.2","X20, X21, X23, X27, X32, X34",2.5710568129800383e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
96,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.3","X20, X21, X23, X27, X32, X35",2.7853115248982946e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
97,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.4","X20, X21, X23, X27, X32, X36",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
98,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.5","X20, X21, X23, X27, X32, X37",2.142547350577674e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
